Rows are tested languages. Columns are trained models of language
99.27358490566037 8.264150943396228 4.811320754716982 24.047169811320753 56.73584905660377 2.8962264150943393 18.29245283018868 6.537735849056604 9.122641509433963 24.08490566037736  
14.699453551912569 99.33333333333333 24.05464480874317 25.21311475409836 14.513661202185792 26.174863387978142 26.15300546448087 14.262295081967213 23.759562841530055 10.53551912568306  
12.5 29.166666666666668 98.16666666666667 30.5 11.166666666666666 33.83333333333333 30.166666666666668 34.0 35.66666666666667 9.5  
19.585 30.29 16.88 99.765 21.73 34.7725 92.2325 10.3225 13.9125 13.112499999999999  
75.945 12.905 12.125 16.7 99.63 7.465 17.035 9.585 17.23 53.52  
4.085968379446641 23.201581027667984 16.778656126482215 16.729249011857707 8.092885375494072 90.94367588932806 14.031620553359684 13.023715415019762 16.057312252964426 17.480237154150196  
12.1 26.400000000000002 13.100000000000001 98.0 12.9 23.599999999999998 99.6 10.4 20.0 12.4  
5.333333333333334 29.333333333333332 40.666666666666664 25.333333333333336 8.666666666666668 58.833333333333336 25.333333333333336 99.0 17.0 12.833333333333332  
5.177265053460889 24.2824985931345 25.63308947664603 31.541924592009003 23.157006190208214 20.793472144063028 24.507597073719754 11.8458075407991 99.24029262802476 3.7422622397298824  
72.77227722772277 4.3140028288543135 0.4243281471004243 20.792079207920793 67.82178217821783 15.62942008486563 16.33663366336634 6.718528995756719 0.5657708628005658 98.37340876944837  
