Rows are tested languages. Columns are trained models of language
97.17924528301887 10.99056603773585 12.40566037735849 17.367924528301888 15.462264150943398 2.6132075471698113 9.632075471698114 7.641509433962264 5.462264150943396 12.226415094339622  
10.404371584699454 93.50819672131148 15.475409836065573 26.174863387978142 13.40983606557377 11.672131147540982 18.852459016393443 12.896174863387976 17.825136612021858 12.404371584699453  
11.0 25.5 88.66666666666667 15.0 11.666666666666666 15.833333333333332 17.0 29.833333333333336 21.333333333333336 12.833333333333332  
17.407500000000002 24.127499999999998 16.919999999999998 98.9525 6.67 17.71 60.6375 10.395 17.419999999999998 10.742500000000001  
56.605000000000004 14.499999999999998 3.71 13.114999999999998 97.92999999999999 6.145 17.244999999999997 7.17 8.799999999999999 38.665  
2.6383399209486167 18.00395256916996 13.82411067193676 16.15612648221344 7.732213438735178 79.70355731225295 12.667984189723319 10.484189723320158 7.57905138339921 12.934782608695652  
6.7 14.899999999999999 15.7 86.6 3.2 12.1 81.0 12.3 14.499999999999998 9.2  
3.6666666666666665 20.833333333333336 35.16666666666667 11.5 6.166666666666667 8.5 17.666666666666668 94.16666666666667 17.333333333333336 5.833333333333333  
5.120990433314575 18.429938097917837 23.8885762521103 22.622397298818235 19.10523353967361 12.436691052335396 23.466516601012945 7.034327518289252 82.55486775464266 0.9848058525604951  
49.222065063649225 2.1216407355021216 1.6973125884016973 16.47807637906648 53.39462517680339 20.86280056577086 17.82178217821782 8.76944837340877 2.1923620933521923 79.98585572842998  
